safe_count,violate_count,violate_limit
12-07-2023 13:05:01,12,25,18
12-07-2023 13:05:04,12,25,18
12-07-2023 13:05:07,12,25,18
12-07-2023 13:05:11,12,25,18
12-07-2023 13:05:14,12,25,18
12-07-2023 13:05:17,12,24,18
12-07-2023 13:05:21,13,25,19
12-07-2023 13:05:24,13,25,19
12-07-2023 13:05:28,13,26,19
12-07-2023 13:05:31,13,26,19
12-07-2023 13:05:34,13,26,19
12-07-2023 13:05:38,13,26,19
12-07-2023 13:05:41,11,28,19
12-07-2023 13:05:44,11,28,19
12-07-2023 13:05:48,11,28,19
12-07-2023 13:05:51,11,27,19
12-07-2023 13:05:55,11,27,19
12-07-2023 13:05:58,11,27,19
12-07-2023 13:06:01,11,27,19
12-07-2023 13:06:05,10,28,19
12-07-2023 13:06:08,10,28,19
12-07-2023 13:06:11,11,28,19
12-07-2023 13:06:15,10,28,19
12-07-2023 13:06:18,10,28,19
12-07-2023 13:06:22,10,28,19
12-07-2023 13:06:25,10,28,19
12-07-2023 13:06:28,11,26,18
12-07-2023 13:06:32,12,26,19
12-07-2023 13:06:35,12,26,19
12-07-2023 13:06:39,12,26,19
12-07-2023 13:06:42,12,26,19
12-07-2023 13:06:46,12,26,19
12-07-2023 13:06:49,12,26,19
12-07-2023 13:06:53,13,26,19
12-07-2023 13:06:56,13,26,19
12-07-2023 13:07:00,12,27,19
12-07-2023 13:07:03,12,27,19
12-07-2023 13:07:07,11,27,19
12-07-2023 13:07:10,13,26,19
12-07-2023 13:07:14,12,28,20
12-07-2023 13:07:17,12,28,20
12-07-2023 13:07:20,12,28,20
12-07-2023 13:07:24,12,28,20
12-07-2023 13:07:27,12,28,20
12-07-2023 13:07:31,12,27,19
12-07-2023 13:07:34,12,28,20
12-07-2023 13:07:37,10,30,20
12-07-2023 13:07:41,12,28,20
12-07-2023 13:07:44,11,28,19
12-07-2023 13:07:47,10,29,19
